date,BTC-USD,ETC-USD,ALGO-USD,XTZ-USD,ETH-USD,EOS-USD,XLM-USD,LTC-USD,LINK-USD,BCH-USD,DASH-USD
2019-09-18 06:00:00,10161.3,6.398,0.3385,1.1125,211.72,4.069,0.071457,75.43,1.69999,321.46,95.04
2019-09-18 12:00:00,10182.84,6.47,0.3427,1.1315,213.39,4.133,0.078599,79.5,1.78953,326.56,97.15
2019-09-18 18:00:00,10155.26,6.388,0.3411,1.0861,210.27,4.081,0.082876,77.75,1.80999,324.04,97.646
2019-09-19 00:00:00,9876.51,6.02,0.3153,1.0562,206.41,3.869,0.078147,73.81,1.87,310.91,91.5
2019-09-19 06:00:00,9855.26,6.089,0.314,1.0341,206.54,3.843,0.081196,73.92,1.80112,309.84,96.491
2019-09-19 12:00:00,10035.04,6.161,0.3214,1.1084,219.75,3.926,0.083108,76.54,1.84841,316.13,102.275
2019-09-19 18:00:00,10275.01,6.226,0.3222,1.0891,220.8,3.968,0.080944,76.82,1.878,323.8,99.935
2019-09-20 00:00:00,10170.01,6.098,0.3196,1.0976,217.28,3.894,0.075134,74.65,1.83879,317.94,98.407
2019-09-20 06:00:00,10159.63,6.209,0.3242,1.0971,218.74,3.9,0.07579,75.54,1.81985,317.58,97.466
2019-09-20 12:00:00,10115.01,6.12,0.3178,1.0448,215.95,3.888,0.071157,74.01,1.7639,312.72,95.828
2019-09-20 18:00:00,10168.85,6.16,0.3201,1.0628,218.06,4.014,0.071933,75.1,1.82052,315.75,96.65
2019-09-21 00:00:00,10099.83,6.152,0.3167,1.0722,218.67,4.028,0.072,74.78,1.85937,315.69,96.03
2019-09-21 06:00:00,10048.9,6.117,0.3175,1.0591,216.4,4.038,0.071428,73.66,1.83658,312.11,94.998
2019-09-21 12:00:00,9969.63,6.092,0.3174,1.056,215.43,4.008,0.070877,72.76,1.82945,310.92,93.428
2019-09-21 18:00:00,9973.99,6.114,0.3157,1.0725,214.8,3.997,0.069626,73.18,1.88,311.6,92.817
2019-09-22 00:00:00,9927.78,6.015,0.3099,1.054,210.39,3.881,0.068166,72.08,1.83582,306.27,92.338
2019-09-22 06:00:00,10001.36,6.014,0.3098,1.0569,210.61,3.891,0.067897,72.06,1.82517,306.93,93.202
2019-09-22 12:00:00,9991.89,5.98,0.3075,1.0545,207.75,3.779,0.067567,71.75,1.78497,304.24,91.515
2019-09-22 18:00:00,10026.8,5.99,0.3003,1.0479,211.1,3.812,0.068589,72.26,1.8194,306.75,90.764
2019-09-23 00:00:00,9946.57,5.967,0.2878,1.04,208.4,3.768,0.065804,72.27,1.80969,304.41,89.361
2019-09-23 06:00:00,9908.83,5.983,0.2853,1.1191,209.3,3.797,0.067694,73.07,1.83352,304.44,89.375
2019-09-23 12:00:00,9775.76,5.944,0.2821,1.0889,206.65,3.828,0.065286,71.89,1.83992,302.84,89.569
2019-09-23 18:00:00,9693.74,5.809,0.2674,1.053,200.8,3.682,0.063373,66.47,1.80177,292.06,86.545
2019-09-24 00:00:00,9752.0,5.87,0.276,1.1,200.84,3.688,0.064,67.02,1.84313,292.06,87.906
